GEOID,population,worker_denominator,age5_under,age5_17,age18_24,age25_34,age35_44,age45_54,age55_59,age60_61,age62_64,age65_74,age75_plus,household_size,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transportation,information,finance_realestate,professional,education_healthcare,lths_education,hs_education,college_education,poverty,medianincome,median_age,insurance,black_aa,ai,pi,hispanic,asian,white_race,age18_under,age18_34,age55_64,geoid,POPPCT_URBAN,Rural.Urban.Continuum.Code,COUNTYFIPS.x,hospitals,hospital_beds,COUNTYFIPS.y,universities,student_enrollment,fips,cases_march,cases_april,cases_may,cases_june,total_march,total_april,total_may,total_june,enrollment_march,enrollment_april,enrollment_may,enrollment_june,launched_march,launched_april,launched_may,launched_june,cases,total,state,date,days,urban,rural,countyfips
37159,139605,61491,5.640915439991404,16.89695927796282,8.79982808638659,11.996704989076322,12.062605207549874,14.039611761756385,7.6795243723362345,2.5479030120697685,3.5342573690054078,9.790480283657462,7.01121020020773,2.59,1.0115301426224976,8.583369924053926,17.02200321998341,2.9809240376640482,12.875054886080889,5.421931664796474,0.8358946837748614,3.8477175521621048,7.031923370899806,23.201769364622464,10.11281830879983,22.54718670534723,12.859854589735326,16.0352422907489,48667,40.2,0.9832240965581462,17.164857992192257,1.089502524981197,0.06231868486085742,8.585652376347552,1.285770566956771,79.03656745818559,22.537874717954224,20.79653307546291,13.76168475341141,37159,61.18,1,37159,2,427,37159,3,2628,37159,24,357,301,862,0,0,1,1,0,0,1.9330267558528431,1.9330267558528431,0,0,1,0,1544,2,37,2020-03-20,110,TRUE,FALSE,37159
37161,66532,26422,5.099801599230445,15.908134431551735,7.712078398364697,10.295797510972164,11.408044249383757,14.176636806348824,7.3242950760536285,3.0241086995731377,4.376841219262912,12.173089641074972,8.501172368183731,2.48,1.1127091060479903,6.328059950041633,20.815986677768525,1.468473241995307,13.072439633638636,5.457573234425857,0.6963893724926198,2.9861479070471577,7.985769434562108,23.33661342820377,12.392532916491312,22.75897312571394,12.314375037575903,17.6321168760897,40347,44.7,0.9853604280646907,10.936090903625322,0.8236638008777731,0.2149341670173751,4.2340527866289905,0.7755666446221366,87.99675344195275,21.00793603078218,18.00787590933686,14.725244994889678,37161,38.96,4,37161,1,143,NA,0,0,37161,5,134,48,233,3,4,5,6,7.168882519349809,8.902274790125258,13.653053606324635,14.60320936956451,3,1,1,1,420,18,37,2020-03-30,100,FALSE,FALSE,37161
37163,63561,26584,6.4363367473765365,18.20141281603499,8.470603042746339,11.198691021223707,12.33618099148849,13.32892811629773,6.774594484038955,2.6745960573307532,3.4832680417236985,9.962083667657842,7.133305014080961,2.66,9.554619319891664,8.862473668371953,16.85976527234427,2.208095094793861,13.120674089678003,5.100812518808306,1.1435449894673488,1.9899187481191694,4.818687932591033,21.129250677099005,14.933685750696183,22.29511807554947,8.538254590078823,23.73153348751593,39068,40.3,0.9896005412123786,27.175469234278882,3.3416717798650115,0.07394471452620317,19.346769245291924,0.6733688897279778,66.77207721716147,24.637749563411525,19.669294063970046,12.932458583093407,37163,15.04,6,37163,1,146,NA,0,0,37163,1,62,417,601,0,0,0,0,0,0,0,0,0,0,0,0,1081,0,37,2020-03-17,113,FALSE,FALSE,37163
37165,35262,12081,6.244682661221711,16.754580001134364,9.863308944472804,11.842776927003573,12.276671771311893,12.614145539107255,6.66156202143951,2.8727808972831945,3.9674437071068005,10.073166581589247,6.828880948329647,2.49,2.607400049664763,3.393758794801755,21.976657561460144,2.400463537786607,11.762271335154374,2.6239549706150154,0.9022431917887591,3.012995612945948,4.643655326545816,28.44135419253373,13.530145765980375,22.865974703646984,10.421984005444955,25.608303556236173,35617,39.4,0.9422324315126765,40.0686291191651,12.994158017128921,0.048210538256480064,2.9209914355396744,1.1882479723214792,46.2083829618286,22.999262662356074,21.706085871476375,13.501786625829505,37165,51.61,6,37165,1,104,37165,1,665,37165,2,22,63,71,0,0,0,0,0,0,0,0,0,0,0,0,158,0,37,2020-03-22,108,FALSE,FALSE,37165
37167,61114,28295,5.627188532905717,16.097784468370584,8.479235527047813,11.864711849985273,11.763262100337075,14.265143829564419,7.135844487351507,2.5051543017966424,3.86654449062408,11.064567856792225,7.330562555224662,2.49,2.9687223891146846,9.104081993285034,15.9886905813748,2.127584378865524,12.147022442127584,3.8946810390528364,0.9400954232196501,4.704011309418625,6.312069270189078,24.223361017847676,10.405144484078935,24.238308734496187,11.030205844814608,13.865889976110221,49590,42.3,0.9775501521746245,12.234512550315802,0.7281473966685211,0.014726576561835259,4.100533429328795,2.2204404882678275,85.58431783224792,21.7249730012763,20.343947377033086,13.507543279772229,37167,32.29,6,37167,1,109,37167,1,1306,37167,5,24,54,305,0,0,0,0,0,0,0,0,0,0,0,0,388,0,37,2020-03-20,110,FALSE,FALSE,37167
37169,45905,20742,4.467922884217406,14.963511600043569,7.369567585230367,10.456377300947608,11.515085502668555,15.453654286025486,8.4043132556366409,3.0650255963402677,4.485350179718985,11.682823221871255,8.136368587299858,2.35,0.9786905795005303,7.8054189567062,18.445665798862212,2.844470157169029,9.724231028830392,7.014752675730403,0.88226786230836,5.013981293992865,9.136052453958152,22.910037604859703,12.044439603529028,30.094760919289836,9.73967977344516,13.432088007842284,46169,46,0.9897614638928222,4.947173510510837,1.1218821479141705,0.028319355190066443,2.862433286134408,0.4618233307918528,94.21849471735105,19.431434484260976,17.825944886177975,15.954689031695894,37169,24.3,2,37169,1,93,NA,0,0,37169,0,11,56,69,0,0,0,0,0,0,0,0,0,0,0,0,136,0,37,2020-04-02,97,TRUE,FALSE,37169
37171,72099,30687,5.145702436927003,16.49537441573392,8.0708470297785,10.278922037753645,11.792119169475304,14.578565583433889,7.061124287438106,2.8835351391836226,4.013925297160848,11.265066089682243,8.414818513432918,2.45,3.0794799100596344,9.74028090070714,15.73956398474924,2.183334962687783,12.959885293446735,4.529605370352266,0.746244337993287,3.8420177925505916,7.130055072180403,22.579593964871115,15.249864769275579,20.57448785697444,11.786571242319589,16.613267867792896,41068,43.8,0.9889041456885671,4.266355982745947,0.9528564889942995,0.18446857792757182,10.333014327521878,0.7656139474888695,92.51445928514958,21.641076852660923,18.349769067532144,13.958584723782575,37171,31.19,4,37171,2,226,NA,0,0,37171,2,15,199,252,0,0,0,0,0,0,0,0,0,0,0,0,468,0,37,2020-03-27,103,FALSE,FALSE,37171
37173,14254,5693,6.299985968850849,16.12179037463168,8.425705065244843,11.835274308965904,11.41433983443244,12.9647818156307,6.9033253823488145,2.8062298302230952,4.069033253823489,11.561666900519151,7.597867265329031,2.57,3.4779553838046726,5.63850342525909,3.3549973651853153,1.2120147549622344,6.797821886527314,2.0200245916037236,1.299841911118918,5.252063938169682,7.096434217460039,25.592833304057617,15.020345166269117,21.516767223235583,11.035498807352322,17.08993966605865,36773,41.4,0.9873719657639961,1.1786165286937,33.06440297460362,0.06314017118001965,5.128385014732706,0.39287217623123333,68.68247509471026,22.421776343482527,20.26097937421075,13.778588466395398,37173,0,8,37173,3,0,NA,0,0,37173,0,3,10,41,0,0,0,0,0,0,0,0,0,0,0,0,54,0,37,2020-04-29,70,FALSE,TRUE,37173
37175,33513,13511,4.207322531554919,11.825261838689464,8.280368812102767,9.49183898785546,9.49183898785546,12.049055590367917,7.170351803777638,3.344970608420613,5.120401038403008,15.83862978545639,13.179960015516368,2.28,1.376656058026793,11.10206498408704,9.273924950040707,1.9391606838872029,11.2500925172082,3.1085781955443714,1.1694175116571681,4.426023240322699,9.162904300199838,24.876026941011027,8.653358398233522,20.40103840300779,23.832542595410736,14.251186106883896,46629,50.7,0.9858263957270313,5.215886372452481,0.5460567540954256,0.15217975114134813,3.252469191060186,0.7996896726643393,92.52528869393967,16.032584370244383,17.772207799958224,15.63572345060126,37175,40.36,6,37175,1,94,37175,1,677,37175,5,3,10,11,0,0,0,0,0,0,0,0,0,0,0,0,29,0,37,2020-03-24,106,FALSE,FALSE,37175
