"","GEOID","population","worker_denominator","age5_under","age5_17","age18_24","age25_34","age35_44","age45_54","age55_59","age60_61","age62_64","age65_74","age75_plus","household_size","agriculture","construction","manufacturing","wholesale_trade","retail_trade","transportation","information","finance_realestate","professional","education_healthcare","lths_education","hs_education","college_education","poverty","medianincome","median_age","insurance","black_aa","ai","pi","hispanic","asian","white_race","age18_under","age18_34","age55_64","geoid","POPPCT_URBAN","COUNTYFIPS.x","hospitals","hospital_beds","COUNTYFIPS.y","universities","enrollment","fips","cases_march","cases_april","cases_may","cases_june","total_march","total_april","total_may","total_june","enrollment_march","enrollment_april","enrollment_may","enrollment_june","launched_march","launched_april","launched_may","launched_june","cases","total","state"
"1","01001",55200,24124,5.91123188405797,18.3079710144928,8.45108695652174,12.7971014492754,13.3586956521739,14.2264492753623,7.48369565217391,2.42934782608696,2.45108695652174,8.53442028985507,6.04891304347826,2.59,0.882938152876803,6.00232133974465,12.9456143259824,2.71928370087879,8.92886751782457,6.984745481678,1.62908307080086,6.25932681147405,8.94544851600066,20.0795887912452,7.61594202898551,21.9547101449275,18.643115942029,15.2572463768116,58786,37.8,0.983278985507246,19.8586956521739,0.840579710144928,0.208333333333333,2.76811594202899,1.6213768115942,78.5634057971015,24.2192028985507,21.2481884057971,12.3641304347826,1001,58,"01001",1,85,NA,0,NA,"01001",7,36,185,318,0,0,0,0,0,0,0,0,0,0,0,0,546,0,"01"
"2","01003",208107,93379,5.57838035241486,16.3704248295348,7.41974080641209,11.2086570850572,12.1942077873402,13.6131893689304,6.93873824522962,2.74137823331267,4.39485457000485,11.7972965830078,7.74313213875554,2.61,1.32792169545615,8.26952526799387,9.11982351492306,3.09170156030799,13.7086496963985,4.92509022371197,1.36968697458743,7.39887983379561,10.6447916555114,20.0880283575536,6.87627038014099,19.499103826397,22.1400529535287,10.4047437135704,55962,42.8,0.987242139860745,9.75988313704008,1.53046269467149,0.0379612410923227,4.49432263210752,1.35699423854075,87.786090809055,21.9488051819497,18.6283978914693,14.0749710485471,1003,57.72,"01003",4,398,"1003",2,21060,"01003",19,155,135,440,0,0,0,0,0,0,0,0,0,0,0,0,749,0,"01"
"3","01005",25782,8720,5.39135831200062,15.6931192304709,8.42836087192615,14.2541307889225,12.0394073384532,13.3891862539756,6.42696454891009,2.43192925296719,3.97176324567528,10.9378636257854,7.03591653091304,2.49,4.51834862385321,6.25,23.8876146788991,2.78669724770642,10.6192660550459,6.9151376146789,0.240825688073394,3.96788990825688,4.77064220183486,18.6467889908257,19.0093863936079,25.1570863393065,8.61065859902257,25.5876192692576,34186,39.9,0.887518423706462,48.4524086572027,1.16748118842603,0.00387867504460476,4.28981459933287,0.601194631913738,48.3321697308199,21.0844775424715,22.6824916608487,12.8306570475526,1005,32.21,"01005",1,74,NA,0,NA,"01005",0,39,128,189,0,0,0,0,0,0,0,0,0,0,0,0,356,0,"01"
"4","01007",22527,8099,5.6598748168864,15.021973631642,9.26887734718338,13.650286323079,12.8512451724597,15.2661250943312,6.63204155013983,2.45927109690594,2.93869578727749,9.41980734230035,6.83180183779465,2.99,5.98839362884307,9.0134584516607,18.7060130880356,1.71626126682306,9.14927768860353,4.88949252994197,1.30880355599457,4.58081244598099,4.69193727620694,22.8052846030374,11.7636613841168,33.1646468682026,8.04812003373729,12.7091934123496,45340,39.9,0.908598570604164,22.7149642651041,0.399520575309628,0,2.42819727438185,0.226394992675456,77.4492830825232,20.6818484485284,22.9191636702624,12.0300084343233,1007,31.65,"01007",1,35,NA,0,NA,"01007",3,39,36,126,0,0,0,0,0,0,0,0,0,0,0,0,204,0,"01"
"5","01009",57645,21346,6.04562407841096,17.3180674820019,7.89313904068002,11.7720530835285,12.4087084742822,13.7861046057767,6.75687396998872,2.50845693468644,3.75921589036343,10.6375227686703,7.11423367161072,2.77,2.28145788438115,9.46313126581092,16.4105687248196,3.59786376838752,11.7586433055373,6.86311252693713,1.25081982572847,5.83715918673288,7.67825353696243,19.6945563571629,13.6369156041287,23.4001214329083,8.69112672391361,14.2596929482175,48695,40.8,0.991742562234366,1.94986555642293,1.23861566484517,0.0919420591551739,9.12655043802585,0.506548703270015,97.1133662936942,23.3636915604129,19.6651921242085,13.0245467950386,1009,10.05,"01009",1,40,NA,0,NA,"01009",5,32,30,159,339,739,1016,1075,14.3802936194241,14.3802936194241,14.3802936194241,14.3802936194241,2,0,0,0,226,3169,"01"
"6","01011",10352,3940,5.75734157650696,15.0115919629057,10.6066460587326,10.8191653786708,15.4462905718702,12.7704791344668,5.72836166924266,4.28902627511592,3.96058732612056,9.76622874806801,5.84428129829985,2.75,5.93908629441624,4.9238578680203,33.756345177665,0.939086294416244,6.47208121827411,5.20304568527919,0.431472081218274,2.30964467005076,4.9492385786802,16.2182741116751,17.0015455950541,27.2121329211747,9.12867078825348,30.0425038639876,32152,39.6,0.96387171561051,76.2461360123648,1.17851622874807,0,0.492658423493045,0.540958268933539,21.9860896445131,20.7689335394127,21.4258114374034,13.9779752704791,1011,48.63,"01011",1,61,NA,0,NA,"01011",3,10,199,160,0,0,0,0,0,0,0,0,0,0,0,0,372,0,"01"
"7","01013",20025,7885,6.01747815230961,16.7840199750312,7.84519350811486,12.1048689138577,11.9900124843945,12.1198501872659,7.29088639200999,2.86142322097378,3.98002496878901,10.3920099875156,8.61423220973783,2.94,2.95497780596068,5.61826252377933,24.0329740012682,1.39505389980977,11.2365250475587,4.59099556119214,1.30627774254914,3.03107165504122,4.57831325301205,20.4185161699429,10.6916354556804,30.4169787765293,11.1610486891386,23.1710362047441,39109,40.7,0.985468164794007,46.0224719101124,0.639200998751561,0,0.33458177278402,1.42821473158552,53.478152309613,22.8014981273408,19.9500624219725,14.1323345817728,1013,28.77,"01013",2,94,NA,0,NA,"01013",1,52,359,243,0,0,0,0,0,0,0,0,0,0,0,0,655,0,"01"
"8","01015",115098,48157,5.70122851830614,16.1896818363482,9.35463691810457,13.0471424351422,12.0288797372674,12.9958817703175,6.82114372100297,3.17555474465238,3.84281221220178,9.9819284435872,6.86110966306973,2.49,1.23346553979691,6.03650559627884,17.6381419108333,2.42332371202525,12.6440600535748,4.6119982557053,1.52625786490022,4.35243059160662,7.2014452727537,21.7413875449052,10.964569323533,22.2879633008393,12.3538202227667,18.0880640845193,45197,39.7,0.986646162400737,21.7970772732802,1.20071591165789,0.125110775165511,3.65167075014336,1.37361205233801,76.4826495681941,21.8909103546543,22.4017793532468,13.8395106778571,1015,66.3,"01015",4,590,"1015",1,8567,"01015",9,84,76,169,0,0,0,0,0,0,0,0,0,0,0,0,338,0,"01"
"9","01017",33826,14786,5.76479631053036,14.9470821261751,9.62573168568557,10.9117247088039,11.7454029444806,13.7409093596642,7.79873470111748,2.60450541003961,3.9141488795601,11.1600543960267,7.7869094779164,2.46,1.5352360340863,4.51102394156635,28.7772216961991,2.37386717164886,10.4152576761802,3.58447179764642,1.88692005951576,3.6318138779927,10.110915731097,18.8218585148113,12.9574883225921,26.7841305504641,9.21776148524803,16.3513273813043,39872,43,0.988381718204931,40.0727251226867,0.517353515047597,0,2.27044285460888,1.29486194051913,58.6235440193934,20.7118784367055,20.5374563944894,14.3173889907172,1017,50.85,"01017",1,115,NA,0,NA,"01017",36,257,98,463,0,0,0,0,0,0,0,0,0,0,0,0,854,0,"01"
"10","01019",25853,9805,4.65709975631455,15.7892701040498,7.32603566317255,9.7822303020926,11.2830232468186,14.0873399605462,7.91784319034541,3.21045913433644,4.20454105906471,13.251846981008,8.49031060225119,2.41,3.3350331463539,7.26160122386537,26.272310045895,0.897501274859765,11.0147883732789,7.38398776134625,1.03008669046405,1.83579806221316,4.71188169301377,23.2534421213666,14.280741113217,27.6834409933083,9.31033148957568,14.8029242254284,41014,45.9,0.98971105867791,5.16767879936564,1.45824469113836,0.123776737709357,1.53947317526012,0.228213360151627,93.4785131319383,20.4463698603644,17.1082659652652,15.3328433837466,1019,14.26,"01019",1,60,NA,0,NA,"01019",2,13,24,46,0,0,0,0,0,0,0,0,0,0,0,0,85,0,"01"
"11","01021",43930,17500,6.29865695424539,17.9376280446164,7.94445709082632,13.2688367857956,12.7657637150011,12.8750284543592,6.91327111313453,3.12087411791486,3.10721602549511,9.414978374687,6.35328932392443,2.6,2.70285714285714,15.44,13.9028571428571,4.2,11.7714285714286,6.46857142857143,0.708571428571429,5.66285714285714,6.90285714285714,15.8,12.0692010015934,29.8770771682222,9.603915319827,18.2881857500569,45182,38.6,0.992692920555429,10.8194855451855,1.17231959936262,0.0386979285226497,7.77600728431596,0.537218301843842,85.5383564762122,24.2362849988618,21.2132938766219,13.1413612565445,1021,13.26,"01021",1,26,NA,0,NA,"01021",11,42,59,144,0,0,0,0,0,0,0,0,0,0,0,0,256,0,"01"
"12","01023",13075,4264,5.13193116634799,15.1357552581262,7.5640535372849,10.1414913957935,11.0592734225621,13.8126195028681,8.21414913957935,2.32504780114723,4.55831739961759,12.5965583173996,9.46080305927342,2.41,11.937148217636,7.08255159474672,17.0731707317073,1.07879924953096,14.6341463414634,4.62007504690432,1.31332082551595,2.20450281425891,4.59662288930582,23.921200750469,13.414913957935,27.5793499043977,9.36902485659656,21.9043977055449,34884,46.1,0.990057361376673,42.8757170172084,0.244741873804971,0,0.558317399617591,0.122370936902486,56.9636711281071,20.2676864244742,17.7055449330784,15.0975143403442,1023,0,"01023",1,25,NA,0,NA,"01023",3,40,113,76,0,0,0,0,0,0,0,0,0,0,0,0,232,0,"01"
"13","01025",24387,7647,5.59314388813712,16.5046951244516,8.72596055275352,10.6327141509821,11.9776930331734,13.6015090006971,7.95505802271702,2.32090868085455,3.71919465288883,10.5589043342765,8.41021855906836,2.57,4.52465018961684,7.67621289394534,24.0224924807114,1.46462665097424,12.383941414934,6.47312671635936,0.87616058585066,4.13233947953446,3.8707990061462,18.3993723028639,13.0192315577972,30.2292204863247,8.68495509902817,24.9641202279903,36127,42.3,0.988149423873375,46.1967441669742,0.2255299954894,0,0.196826177881658,0.504367080821749,53.5777258375364,22.0978390125887,19.3586747037356,13.9951613564604,1025,24.02,"01025",2,85,NA,0,NA,"01025",0,32,112,145,0,0,0,0,0,0,0,0,0,0,0,0,289,0,"01"
"14","01027",13378,5542,5.0082224547765,16.0636866497234,9.52309762296307,8.92510091194498,12.363582000299,13.6343250112124,8.41680370757961,1.84631484526835,4.39527582598296,11.5413365226491,8.28225444760054,2.51,3.59076145795742,4.69144713099964,32.9123060267052,1.67809455070372,11.1151208949838,4.85384337784193,1.46156622158066,3.08552869000361,4.04186214363046,20.3717069649946,17.0055314695769,25.1607116160861,7.05636119001345,17.9772761249813,41225,43.7,0.981312602780685,15.2339662131858,1.39781731200478,0,3.10210793840634,0.13454925997907,83.7045896247571,21.0719091044999,18.4481985349081,14.6583943788309,1027,0,"01027",1,45,NA,0,NA,"01027",2,19,8,27,0,0,0,0,0,0,0,0,0,0,0,0,56,0,"01"
"15","01029",14938,5628,5.49605034141117,17.519078859285,7.06252510376222,11.4205382246619,12.2104699424287,14.1250502075244,6.46672914714152,2.93881376355603,3.99651894497255,10.8314366046325,7.93278886062391,2.58,4.74413646055437,12.5799573560768,19.3674484719261,2.20326936744847,13.4861407249467,6.46766169154229,0.319829424307036,2.82515991471215,3.99786780383795,19.3141435678749,15.8254117017004,27.6810818047931,9.55951265229616,18.2019011915919,40188,42.5,0.988084080867586,4.14379434997992,0.676127995715625,0,2.42334984603026,0.160664078189851,96.1239791136698,23.0151292006962,18.4830633284242,13.4020618556701,1029,0,NA,0,0,NA,0,NA,"01029",5,7,8,17,0,0,0,0,0,0,0,0,0,0,0,0,37,0,"01"
"16","01031",51288,21725,6.19638121977851,17.5148182810794,8.2182966775854,12.6228357510529,13.1882701606614,13.3306036499766,6.9080486663547,2.70433629698955,2.98705350179379,9.47785056933396,6.85150522539385,2.56,3.67779056386651,5.72151898734177,11.5949367088608,2.14959723820483,10.9735327963176,8.31300345224396,1.20138089758343,3.96317606444189,7.33716915995397,22.7571921749137,9.42325690219934,18.9576509124942,15.9394010294806,14.8260801746997,53155,39.3,0.966717360786149,18.5462486351583,2.68288878490095,0.138433941662767,6.91974730931212,2.09990641085634,78.5661363281859,23.7111995008579,20.8411324286383,12.599438465138,1031,52.8,"01031",1,131,NA,0,NA,"01031",0,111,125,219,0,0,0,0,0,0,0,0,0,0,0,0,455,0,"01"
"17","01033",54495,22436,5.68492522249748,15.6161115698688,7.79704560051381,11.9203596660244,11.993760895495,13.570052298376,7.03000275254611,2.78374162767226,4.33250756950179,11.0156895127993,8.25580328470502,2.48,1.11428062043145,7.87127830272776,19.4330540203245,2.14387591371011,13.0147976466393,5.8388304510608,1.20342307006597,4.9072918523801,6.75254055981458,20.9083615617757,11.0395449123773,25.5564730709239,13.2782824112304,16.1207450224791,47558,42.7,0.991613909532985,17.0309202679145,1.46435452793834,0.0623910450500046,2.47545646389577,0.840444077438297,81.5469309110928,21.3010367923663,19.7174052665382,14.1462519497202,1033,56.11,"01033",2,363,NA,0,NA,"01033",4,25,159,197,0,0,0,0,0,0,0,0,0,0,0,0,385,0,"01"
"18","01035",12514,3892,5.7136007671408,15.470672846412,8.11091577433275,10.2924724308774,10.7959085823877,12.793671088381,8.59037877577114,2.75691225827074,3.84369506153108,13.0573757391721,8.57439667572319,2.73,7.14285714285714,5.62692702980473,17.3175745118191,2.41521068859198,16.4182939362796,8.11921891058582,2.80061664953751,4.72764645426516,1.10483042137718,16.7780061664954,13.6087581908263,34.4813808534441,7.58350647275052,21.9913696659741,33177,44.8,0.996404027489212,47.8903627936711,0.487454051462362,0,0.839060252517181,0.727185552181557,51.6621384049864,21.1842736135528,18.4033882052102,15.190986095573,1035,19.05,"01035",1,58,NA,0,NA,"01035",0,10,31,134,0,0,0,0,0,0,0,0,0,0,0,0,175,0,"01"
"19","01037",10855,4110,3.15062183325656,13.8922155688623,7.13956701980654,10.6678949792722,11.6167664670659,14.2422846614463,10.2164900967296,2.9940119760479,4.26531552280055,12.4366651312759,9.37816674343621,2.55,1.28953771289538,8.71046228710462,20.1703163017032,2.45742092457421,8.6374695863747,10.7299270072993,1.16788321167883,4.81751824817518,5.69343065693431,18.0778588807786,15.4306771073238,29.2768309534777,8.77936434822662,13.4408106863197,38301,46.9,0.964071856287425,34.2054352832796,0.0829111008751727,0,0.460617227084293,0,65.7116536158452,17.0428374021188,17.8074619990788,17.4758175955781,1037,0,NA,0,0,NA,0,NA,"01037",4,27,13,42,0,0,0,0,0,0,0,0,0,0,0,0,86,0,"01"
"20","01039",37351,14899,5.73478621723649,16.1923375545501,7.29030012583331,11.4963454793714,10.9715937993628,13.105405477765,7.0734384621563,2.78975127841289,4.86466225803861,11.3249979920216,9.15638135525153,2.44,6.44338546211155,6.94677495133902,14.2425666152091,2.96664205651386,11.3296194375461,9.80602725015102,0.624202966642057,3.45660782602859,9.36975635948721,18.6052755218471,12.1281893389735,25.0809884608177,10.5807073438462,17.9432946909052,40601,43.9,0.984873229632406,13.3784905357286,1.1619501485904,0.0348049583679152,1.61709191186314,0.618457337152954,86.2279457042649,21.9271237717866,18.7866456052047,14.7278519986078,1039,30.35,"01039",3,210,NA,0,NA,"01039",2,34,46,255,0,0,0,0,0,0,0,0,0,0,0,0,337,0,"01"
"21","01041",13865,5612,5.67616300036062,16.7976920302921,7.74612333213127,11.301839163361,12.5640100973675,13.1698521456906,7.71727371078255,2.38730616660656,4.30580598629643,11.0710421925712,7.26289217454021,2.73,5.48823948681397,6.89593727726301,17.6407697790449,3.01140413399857,11.6714183891661,5.70206699928724,2.15609408410549,4.18745545260157,7.37704918032787,20.1888809693514,15.0811395600433,27.0681572304364,10.8546700324558,15.4922466642625,39812,41.5,0.984926072845294,24.890010818608,1.24774612333213,0,1.98341146772449,1.43526866209881,73.4727731698521,22.4738550306527,19.0479624954922,14.4103858636855,1041,0,"01041",2,93,NA,0,NA,"01041",1,18,58,67,0,0,0,0,0,0,0,0,0,0,0,0,144,0,"01"
